14:05:57 - 0 record - 0 second
14:06:25 - 10000 records - 27.928 seconds
14:06:40 - 20000 records - 42.409 seconds
14:06:54 - 30000 records - 57.063 seconds
14:07:09 - 40000 records - 71.863 seconds
14:07:24 - 50000 records - 87.127 seconds
14:07:39 - 60000 records - 102.083 seconds
14:07:55 - 70000 records - 117.585 seconds
14:08:10 - 80000 records - 133.014 seconds
14:08:25 - 90000 records - 148.185 seconds
14:08:40 - 100000 records - 163.319 seconds
14:08:56 - 110000 records - 178.763 seconds
14:09:11 - 120000 records - 193.968 seconds
14:09:27 - 130000 records - 209.548 seconds
14:09:42 - 140000 records - 224.747 seconds
14:09:58 - 150000 records - 240.446 seconds
14:10:13 - 160000 records - 256.085 seconds
14:10:28 - 170000 records - 271.302 seconds
14:10:44 - 180000 records - 286.799 seconds
14:10:59 - 190000 records - 301.908 seconds
14:11:14 - 200000 records - 317.32 seconds
14:11:30 - 210000 records - 332.668 seconds
14:11:46 - 220000 records - 348.446 seconds
14:11:46 - 220000 records - 348.446 seconds (completed)
