14:05:57 - 0 record - 0 second
14:06:26 - 10000 records - 28.777 seconds
14:06:40 - 20000 records - 43.188 seconds
14:06:55 - 30000 records - 58.017 seconds
14:07:10 - 40000 records - 72.992 seconds
14:07:25 - 50000 records - 87.975 seconds
14:07:40 - 60000 records - 103.117 seconds
14:07:56 - 70000 records - 118.423 seconds
14:08:11 - 80000 records - 133.789 seconds
14:08:26 - 90000 records - 149.132 seconds
14:08:42 - 100000 records - 164.428 seconds
14:08:57 - 110000 records - 179.777 seconds
14:09:12 - 120000 records - 194.949 seconds
14:09:28 - 130000 records - 210.442 seconds
14:09:43 - 140000 records - 225.865 seconds
14:09:59 - 150000 records - 241.488 seconds
14:10:14 - 160000 records - 256.987 seconds
14:10:30 - 170000 records - 272.362 seconds
14:10:45 - 180000 records - 287.785 seconds
14:11:00 - 190000 records - 302.855 seconds
14:11:16 - 200000 records - 318.428 seconds
14:11:31 - 210000 records - 333.838 seconds
14:11:47 - 220000 records - 349.331 seconds
14:11:47 - 220000 records - 349.331 seconds (completed)
