14:05:57 - 0 record - 0 second
14:06:26 - 10000 records - 28.436 seconds
14:06:40 - 20000 records - 43.046 seconds
14:06:54 - 30000 records - 57.193 seconds
14:07:10 - 40000 records - 72.576 seconds
14:07:25 - 50000 records - 87.814 seconds
14:07:40 - 60000 records - 102.753 seconds
14:07:55 - 70000 records - 117.827 seconds
14:08:10 - 80000 records - 133.201 seconds
14:08:26 - 90000 records - 148.498 seconds
14:08:41 - 100000 records - 163.863 seconds
14:08:57 - 110000 records - 179.475 seconds
14:09:12 - 120000 records - 194.937 seconds
14:09:27 - 130000 records - 210.147 seconds
14:09:43 - 140000 records - 225.486 seconds
14:09:59 - 150000 records - 241.388 seconds
14:10:14 - 160000 records - 256.942 seconds
14:10:29 - 170000 records - 272.074 seconds
14:10:45 - 180000 records - 287.54 seconds
14:11:00 - 190000 records - 302.583 seconds
14:11:15 - 200000 records - 318.226 seconds
14:11:31 - 210000 records - 333.669 seconds
14:11:46 - 220000 records - 349.128 seconds
14:11:46 - 220000 records - 349.128 seconds (completed)
