14:05:57 - 0 record - 0 second
14:06:22 - 10000 records - 25.186 seconds
14:06:38 - 20000 records - 41.1 seconds
14:06:52 - 30000 records - 55.225 seconds
14:07:08 - 40000 records - 70.909 seconds
14:07:23 - 50000 records - 85.853 seconds
14:07:38 - 60000 records - 100.963 seconds
14:07:53 - 70000 records - 116.18 seconds
14:08:09 - 80000 records - 131.665 seconds
14:08:24 - 90000 records - 147.025 seconds
14:08:39 - 100000 records - 162.266 seconds
14:08:55 - 110000 records - 177.55 seconds
14:09:10 - 120000 records - 192.944 seconds
14:09:26 - 130000 records - 208.482 seconds
14:09:41 - 140000 records - 223.932 seconds
14:09:56 - 150000 records - 238.852 seconds
14:10:13 - 160000 records - 255.636 seconds
14:10:28 - 170000 records - 270.772 seconds
14:10:43 - 180000 records - 286.103 seconds
14:10:58 - 190000 records - 301.283 seconds
14:11:14 - 200000 records - 317.088 seconds
14:11:30 - 210000 records - 332.446 seconds
14:11:45 - 220000 records - 347.566 seconds
14:11:45 - 220000 records - 347.566 seconds (completed)
