13:57:42 - 0 record - 0 second
13:58:01 - 10000 records - 19.784 seconds
13:58:31 - 20000 records - 49.516 seconds
13:59:01 - 30000 records - 79.52 seconds
13:59:31 - 40000 records - 109.491 seconds
14:00:02 - 50000 records - 140.351 seconds
14:00:32 - 60000 records - 170.054 seconds
14:01:02 - 70000 records - 200.81 seconds
14:01:34 - 80000 records - 232.804 seconds
14:02:04 - 90000 records - 262.256 seconds
14:02:40 - 100000 records - 298.976 seconds
14:03:20 - 110000 records - 338.649 seconds
14:03:20 - 110000 records - 338.649 seconds (completed)
