13:57:42 - 0 record - 0 second
13:58:03 - 10000 records - 21.083 seconds
13:58:32 - 20000 records - 50.123 seconds
13:59:02 - 30000 records - 80.089 seconds
13:59:24 - 40000 records - 102.128 seconds
13:59:59 - 50000 records - 136.936 seconds
14:00:31 - 60000 records - 169.087 seconds
14:01:01 - 70000 records - 199.079 seconds
14:01:33 - 80000 records - 230.645 seconds
14:02:02 - 90000 records - 260.37 seconds
14:02:38 - 100000 records - 296.319 seconds
14:03:16 - 110000 records - 334.455 seconds
14:03:16 - 110000 records - 334.455 seconds (completed)
