12:55:44 - 0 record - 0 second
12:55:54 - 10000 records - 10.109 seconds
12:56:05 - 20000 records - 21.422 seconds
12:56:38 - 30000 records - 53.734 seconds
12:58:04 - 40000 records - 140.417 seconds
13:00:03 - 50000 records - 259.672 seconds
13:02:39 - 60000 records - 414.976 seconds
13:05:21 - 70000 records - 576.884 seconds
13:08:14 - 80000 records - 750.062 seconds
13:11:34 - 90000 records - 949.71 seconds
13:13:36 - 100000 records - 1072.357 seconds
13:15:44 - 110000 records - 1200.008 seconds
13:15:44 - 110000 records - 1200.008 seconds (completed)
