12:55:44 - 0 record - 0 second
12:55:54 - 10000 records - 9.943 seconds
12:56:05 - 20000 records - 21.016 seconds
12:56:38 - 30000 records - 53.822 seconds
12:58:09 - 40000 records - 144.985 seconds
13:00:11 - 50000 records - 266.904 seconds
13:02:43 - 60000 records - 419.323 seconds
13:05:21 - 70000 records - 577.469 seconds
13:08:14 - 80000 records - 750.363 seconds
13:11:33 - 90000 records - 949.657 seconds
13:13:36 - 100000 records - 1072.556 seconds
13:15:44 - 110000 records - 1200.07 seconds
13:15:44 - 110000 records - 1200.07 seconds (completed)
