12:55:44 - 0 record - 0 second
12:55:54 - 10000 records - 10.169 seconds
12:56:05 - 20000 records - 21.207 seconds
12:56:37 - 30000 records - 53.694 seconds
12:58:08 - 40000 records - 144.517 seconds
13:00:03 - 50000 records - 259.575 seconds
13:02:43 - 60000 records - 418.798 seconds
13:05:20 - 70000 records - 576.4 seconds
13:08:13 - 80000 records - 749.422 seconds
13:11:27 - 90000 records - 943.456 seconds
13:13:35 - 100000 records - 1071.144 seconds
13:15:43 - 110000 records - 1198.944 seconds
13:15:43 - 110000 records - 1198.945 seconds (completed)
