12:55:44 - 0 record - 0 second
12:55:54 - 10000 records - 10.129 seconds
12:56:05 - 20000 records - 21.382 seconds
12:56:38 - 30000 records - 54.3 seconds
12:58:09 - 40000 records - 144.837 seconds
13:00:04 - 50000 records - 259.971 seconds
13:02:41 - 60000 records - 417.719 seconds
13:05:21 - 70000 records - 576.808 seconds
13:08:14 - 80000 records - 750.029 seconds
13:11:33 - 90000 records - 949.571 seconds
13:13:36 - 100000 records - 1072.48 seconds
13:15:44 - 110000 records - 1199.94 seconds
13:15:44 - 110000 records - 1199.941 seconds (completed)
