12:28:37 - 0 record - 0 second
12:28:44 - 10000 records - 6.513 seconds
12:28:50 - 20000 records - 13.083 seconds
12:28:57 - 30000 records - 19.893 seconds
12:29:05 - 40000 records - 27.189 seconds
12:29:22 - 50000 records - 44.265 seconds
12:29:46 - 60000 records - 68.417 seconds
12:30:17 - 70000 records - 99.733 seconds
12:30:56 - 80000 records - 139.015 seconds
12:31:53 - 90000 records - 195.686 seconds
12:32:26 - 100000 records - 228.24 seconds
12:33:47 - 110000 records - 309.384 seconds
12:34:52 - 120000 records - 374.572 seconds
12:36:15 - 130000 records - 457.624 seconds
12:37:36 - 140000 records - 538.214 seconds
12:39:04 - 150000 records - 627.062 seconds
12:40:31 - 160000 records - 713.141 seconds
12:42:03 - 170000 records - 805.229 seconds
12:43:35 - 180000 records - 897.899 seconds
12:44:56 - 190000 records - 979.003 seconds
12:45:58 - 200000 records - 1040.193 seconds
12:47:31 - 210000 records - 1133.939 seconds
12:48:38 - 220000 records - 1200.729 seconds
12:48:38 - 220000 records - 1200.73 seconds (completed)
