14:20:02 - 0 record - 0 second
14:21:09 - 10000 records - 66.567 seconds
14:22:23 - 20000 records - 140.933 seconds
14:23:38 - 30000 records - 216.119 seconds
14:24:56 - 40000 records - 293.651 seconds
14:26:26 - 50000 records - 384.265 seconds
14:28:10 - 60000 records - 487.432 seconds
14:30:14 - 70000 records - 612.295 seconds
14:32:27 - 80000 records - 745.076 seconds
14:34:54 - 90000 records - 891.978 seconds
14:37:16 - 100000 records - 1033.658 seconds
14:40:17 - 110000 records - 1214.49 seconds
14:40:17 - 110000 records - 1214.49 seconds (completed)
