11:28:52 - 0 record - 0 second
11:28:58 - 10000 records - 6.006 seconds
11:29:04 - 20000 records - 12.044 seconds
11:29:10 - 30000 records - 18.115 seconds
11:29:16 - 40000 records - 24.278 seconds
11:29:22 - 50000 records - 30.446 seconds
11:29:28 - 60000 records - 36.535 seconds
11:29:35 - 70000 records - 43.15 seconds
11:29:42 - 80000 records - 50.53 seconds
11:29:52 - 90000 records - 60.661 seconds
11:30:03 - 100000 records - 71.559 seconds
11:30:18 - 110000 records - 85.889 seconds
11:30:32 - 120000 records - 99.892 seconds
11:30:43 - 130000 records - 111.469 seconds
11:31:07 - 140000 records - 134.978 seconds
11:31:24 - 150000 records - 152.001 seconds
11:31:41 - 160000 records - 169.366 seconds
11:32:11 - 170000 records - 198.951 seconds
11:32:32 - 180000 records - 220.285 seconds
11:33:07 - 190000 records - 254.836 seconds
11:33:35 - 200000 records - 283.441 seconds
11:34:01 - 210000 records - 309.119 seconds
11:34:34 - 220000 records - 341.898 seconds
11:34:34 - 220000 records - 341.899 seconds (completed)
